//Index	Message
529	"Você venceu a Guerra de Guildas!!!(O mestre da guilda adversária saiu)"
530	"Você perdeu a Guerra de Guildas!!!(O mestre da guilda saiu)"
531	"Você venceu a Guerra de Guildas!!!(A guilda adversária foi dissolvida)"
532	"Você perdeu a Guerra de Guildas!!!(A guilda foi dissolvida)"
533	"Uma Battle Soccer começou contra a guilda %s."
534	"A guilda %s ganhou um ponto."
535	"A diferença de nível entre vocês deve ser menor que 130"
536	"Um item caro!"
537	"Verifique o item"
538	"Tem certeza de que deseja vendê-lo?"
539	"Deseja combinar seus itens?"
540	"UPAR + BAÚ"
541	"PVP + BAÚ"
542	"SSeMU"
543	"SSeMU"
544	"SSeMU"
545	"SSeMU"
546	"SSeMU"
547	"SSeMU"
548	"SSeMU"
549	"SSeMU"
550	"SSeMU"
551	"SSeMU"
552	"SSeMU"
553	"SSeMU"
554	"SSeMU"
555	"SSeMU"
556	"SSeMU"
557	"SSeMU"
558	"SSeMU"
559	"Teste"
560	"Preparando agora"
561	"(Cheio)"
562	""
563	"O servidor TESTE é destinado a testes,"
564	"portanto, pode ocorrer perda de dados."
565	"Como o servidor Maya"
566	"tende a ficar lotado"
567	"recomendamos que você use outros servidores."
568	"o membro da guilda foi removido."
569	"Você não pode teleportar enquanto estiver montado em um unicórnio"
570	"Bloqueado pelo Filtro!"
571	"Jogue-o no chão e você poderá receber Zen ou itens"
572	"É usado para aumentar o nível do seu item até +6"
573	"É usado para aumentar o nível do seu item para +7, +8 ou +9"
574	"É usado para combinar itens Chaos"
575	"Absorve 30%% do dano"
576	"Aumenta em 30%% o Dano de Ataque e Mágico"
577	"Aumenta %d%% do Dano"
578	"Absorve %d%% do Dano"
579	"Aumenta a velocidade"
580	"Estão faltando itens."
581	"Combine os itens após organizar seu inventário."
582	"Dano da Habilidade: %d%%"
583	"Chaos"
584	"Taxa de sucesso: %d%%"
585	"Zen necessário: %s"
586	"Você deve possuir a Joia do Chaos"
587	"para combinar os itens."
588	"Observe que"
589	"caso você falhe,"
590	"o nível dos itens diminui."
591	"Combinando"
592	"Saia do jogo após fechar a interface Chaos."
593	"Feche o inventário após mover seus itens dentro dele."
594	"A combinação Chaos falhou"
595	"A combinação Chaos foi bem-sucedida"
596	"Zen insuficiente para combinar os itens"
597	"Ponto - não há mais datas"
598	"Ponto - não há mais pontos restantes"
599	"Seu IP não tem permissão para conectar"
600	"Os níveis dos itens devem ser idênticos para combinar. Os itens estão no mesmo nível"
601	"Itens inadequados para combinação"
602	"Combinação de Itens Chaos"
603	"Combinação do Convite do Diabo"
604	"Criar item +10"
605	"Criar item +11"
606	"Durante a criação de itens +10 ~ +11,"
607	"observe que existe a possibilidade"
608	"de você perder os itens."
609	"A conversa terminou"
610	"Observe que, ao falhar na combinação dos itens"
611	"você pode perder os itens"
612	"Criar Dinorant"
613	"Criar Fruta"
614	"Criar Asas"
615	"Criar Manto da Invisibilidade"
616	""
617	""
618	""
619	"Usado para criar frutas que aumentam atributos"
620	"Excelente"
621	"Aumenta a opção do item em 1 nível"
622	"Aumenta o HP Máximo em +4%%"
623	"Aumenta a Mana Máxima em +4%%"
624	"Redução de Dano +4%%"
625	"Reflete Dano +5%%"
626	"Taxa de sucesso da defesa +10%%"
627	"Aumenta em +30%% a quantidade de Zen obtida ao caçar monstros"
628	"Taxa de Dano Excelente +10%%"
629	"Aumenta o Dano +nível/20"
630	"Aumenta o Dano +%d%%"
631	"Aumenta o Dano Mágico +nível/20"
632	"Aumenta o Dano Mágico +%d%%"
633	"Aumenta a velocidade de Ataque(Mágica) +%d"
634	"Aumenta a quantidade de Vida obtida após caçar +vida/8"
635	"Aumenta a quantidade de Mana obtida após caçar +mana/8"
636	"Aumenta de 1~3 pontos de atributo"
637	"É usado para combinar itens para um Convite do Devil Square"
638	"O tempo restante é mostrado"
639	"ao clicar com o botão direito do mouse."
640	"Você entrará no Devil Square (daqui a %d segundos)"
641	"O portão do Devil Square fechará em %d segundos"
642	"O portão do Devil Square está fechando (%d segundos restantes)"
643	"Você pode entrar no Devil Square agora!!"
644	"O Devil Square abrirá em %d minutos."
645	"O %dº Square (nível %d-%d)"
646	"O %dº Square (acima do nível %d)"
647	"Parabéns!! %s,"
648	"Sua bravura foi comprovada no Devil Square."
649	"É necessário estar acima do nível 10 para combinar o convite do Devil Square."
650	"Dizem que recentemente monstros têm vagado por Noria. Eu pensava que essas criaturas só existiam como parte de uma lenda"
651	"Se quiser saber mais sobre o Devil Square, encontre Charon em Noria"
652	"O Devil Square é um lugar onde os guerreiros provam sua coragem. Guerreiros qualificados receberão o convite do Diabo. Vá até"
653	"Você chegou cedo demais. Talvez possa entrar no Devil Square se esperar o momento certo e voltar mais tarde."
654	"Dizem que os Olhos do Diabo foram encontrados em alguns monstros do continente de MU. Tente caçar o máximo de monstros possível para"
655	"Muitos aventureiros e guerreiros estão se reunindo no Devil Square para provar sua coragem. Guerreiro, você está a caminho do Devil Squar"
656	"Você não quer provar que é o mais corajoso dos corajosos? Uma oportunidade está à sua frente. Se conseguir o Olho e a Chave do Diabo"
657	"Milhares de anos atrás, o Olho e a Chave do Diabo existiam no Continente de Mu e desapareceram. Mas agora podem ser encontrados novamente"
658	"Você também está procurando o Olho do Diabo? O Olho do Diabo pode ser encontrado na maioria dos monstros do continente de Mu. Se Deus estiver com você,"
659	"Traga-me o Olho do Diabo, a Chave do Diabo e a Joia do Chaos. O convite do Diabo será concedido somente depois que você trouxer"
660	"Você trouxe o tesouro do Diabo! Que a Deusa da fortuna esteja com você para que encontre um tesouro que atenda às suas necessidades."
661	"Finalmente, o portão do Devil Square foi aberto novamente. Charon, o guardião do portão, permitirá que você entre no Devil Square"
662	"Muitos aventureiros estão procurando o Olho e a Chave do Diabo. Você precisa dos dois para receber um ingresso que permitirá sua entrada no Devil"
663	""
664	""
665	""
666	""
667	""
668	""
669	""
670	"Você recebeu uma chance de provar sua bravura."
671	"Ninguém jamais entrou no Devil Square."
672	""
673	"Não acredite em tudo o que vir lá dentro."
674	""
675	"Somente sua bravura e força manterão você vivo."
676	""
677	"Traga o convite do Diabo para entrar."
678	"Você chegou tarde demais para entrar no Devil Square."
679	"O Devil Square está cheio."
680	"Classificação"
681	"Personagem"
682	"Pontos"
683	"Experiência"
684	"Recompensa"
685	"Minhas Informações"
686	"Você está subestimando a si mesmo. Escolha outro Square."
687	"Se quiser permanecer vivo, escolha outro Square."
688	""
689	"É necessário estar acima do nível 15 para combinar um Manto da Invisibilidade."
690	"Verificação de Senha"
691	"Digite seu código pessoal."
692	"Desbloquear Armazém"
693	"Escolha uma nova senha"
694	"Verifique a nova senha"
695	"Escolha 4 dígitos para a senha"
696	"Digite a senha novamente"
697	"Digite seu código pessoal."
698	""
699	"Prosseguir com a missão"
700	"23 de novembro ~ 13 de dezembro de 2007"
701	"Registre o sinal no jogo"
702	"Visite nossa página inicial"
703	"Para poder participar."
704	"do evento."
705	"Rena registrada no Arqueiro Dourado"
706	"pode ser trocada por Zen"
707	"17 de junho ~ 8 de julho"
708	"1 Rena = 3.000 Zen"
709	"Troca de Rena"
710	"A temporada das bênçãos chegou e o Arqueiro Dourado que coleta Rena apareceu no continente de Mu. Se você levar 10 Rena até ele,"
711	"A 'Rena' é um tipo de moeda de ouro usada no mundo do Céu, que existia antes do continente de Mu. Se você trouxer Rena"
712	"Após a ressurreição de Kundun, alguns monstros tomaram posse do que é chamado de Caixa do Céu. Se encontrar Rena n"
713	"Você trouxe 10 Rena. Como forma de agradecimento, vou contar um pouco sobre Rena. Rena é feita de um tipo de metal dourado"
714	"Rena contém uma fonte de poder de mana muito forte e dizem que os antigos magos usavam Rena para criar feitiços poderosos. W"
715	"Depois disso, estudiosos de Mu que pesquisavam Etramu descobriram que o mundo do Céu realmente existiu e tentaram desvendar o segre"
716	"Mas, devido às guerras constantes, toda a Rena desapareceu e os estudos não puderam continuar. Tentei encontrar Rena para solucionar o"
717	"Após a ressurreição de Kundun, descobri que alguns monstros do continente surpreendentemente possuíam a Caixa do Céu."
718	"Antes que Kundun encontre as Rena escondidas em Mu, precisamos encontrá-las e descobrir o segredo e a origem desse poder."
719	"Nos dias 7 e 8 de junho, o evento 'MU Level UP 2003' será realizado no Coex Mall."
720	"Um evento para desvendar o segredo do céu será realizado de 7 a 8 de junho"
721	"Traga Rena da Caixa do Céu."
722	"Ao trazer 10 Rena, você receberá um número abençoado por Lugard."
723	"Você pode trocar as Rena registradas por Zen"
724	"O Arqueiro Dourado ficará em Lorencia até 8 de julho para trocar Rena por Zen"
725	"Você está jogando Rena no chão? Rena pode ter pouca utilidade neste mundo, mas pode ser trocada por Zen com o Arqueiro Dourado"
726	"Ryan, a atendente do bar em Lorencia, diz que Rena pode ser trocada por Zen. Procure o Arqueiro Dourado se tiver Rena."
727	"A 'Rena' é um tipo de moeda que era usada no mundo do Céu há eras. Ela não pode ser usada neste mundo, mas se você for até"
728	""
729	""
730	"Item de Missão"
731	"Não pode ser armazenado no armazém."
732	"Não pode ser negociado."
733	"Não pode ser vendido."
734	"Selecione o método de combinação"
735	"Combinação Normal"
736	"Combinação de Arma Chaos"
737	""
738	"Invocar"
739	"HP Máximo aumentado em +%d"
740	"HP aumentado em +%d"
741	"Mana aumentada em +%d"
742	"Ignora %d%% do poder defensivo do oponente"
743	"AG Máximo aumentado em +%d"
744	"Absorve %d%% de dano adicional"
745	"Habilidade Raid (Mana:%d)"
746	"Aparar aumentado em 10%%"
747	"Você trocou Dinorants"
748	"Usado para melhorar asas"
749	"É necessário estar acima do nível 10 para usar frutas"
750	"Exibição do Chat Ligada/Desligada (F2)"
751	"Ajuste de Tamanho (F4)"
752	"Ajuste de Transparência"
753	"/filter"
754	"palavra do filtro"
755	"O filtro foi ativado"
756	"O filtro foi cancelado"
757	"Reserva: Janela de Chat"
758	"Reserva: Janela de Chat"
759	"Reserva: Janela de Chat"
760	"Erro de Migração do Servidor: Entre em contato com um representante do atendimento ao cliente."
761	"[error21] Tente executar o jogo novamente. Se o mesmo erro ocorrer, reinstale o jogo."
762	"[error22] Tente executar o jogo novamente."
763	"[error23] Tente executar o jogo novamente. Se o mesmo erro ocorrer, reinstale o jogo."
764	"[error24] Ocorreu um erro. Reinstale o jogo."
765	"[error25] Uma ferramenta de hacking (%s) foi detectada. O jogo será encerrado."
766	"[error26] Uma ferramenta de hacking (%s) foi detectada. O jogo será encerrado."
767	"[error27] Um arquivo está ausente. Reinstale o jogo."
768	"[error28] Um arquivo importante foi corrompido. Reinstale o jogo."
769	"[error29] Um arquivo importante foi corrompido. Reinstale o jogo."
770	"[error30] Um arquivo está ausente. Reinstale o jogo."
771	"[error31] Ocorreu um erro. Reinicie o jogo."
772	"[error32] Um arquivo do jogo foi corrompido."
773	"Reserva : MFGS"
774	"Reserva : MFGS"
775	"Reserva : MFGS"
776	"Reserva : MFGS"
777	"Reserva : MFGS"
778	"Reserva : MFGS"
779	"Reserva : MFGS"
780	"/Tesoura"
781	"/Pedra"
782	"/Papel"
783	"Agitação"
784	"Reserva : Emoticon"
785	"Reserva : Emoticon"
786	"Reserva : Emoticon"
787	"Reserva : Emoticon"
788	"Reserva : Emoticon"
789	"Reserva : Emoticon"
790	"[error1001] : Tente reiniciar o jogo."
791	"[error1002] : Não foi possível conectar ao nProtect. Reinicie o jogo."
792	"[error1003-%d] : Se o mesmo erro continuar ocorrendo, entre em contato com nosso suporte pelo site http:// support.globalmu"
793	"[error1004] : Um speed hack foi detectado. O jogo será encerrado."
794	"[error1005] : Hack de jogo (%d) detectado. O jogo será encerrado."
