2
// -----------------------------------
// [0~100]    [0~100]     [0~2]
// ItemRate   MoneyDrop   BagUseEffect
// -----------------------------------
   100        0           0
end

3
// --------------------------------
// [0~9]       [0~10000]  [*/N]
// BagIndex    DropRate   MapNumber
// --------------------------------
   0           10000      *
end

4
// ----------------------------------------------------------------------------------
// [0~9]      [5~16]    [0~10000]     [1~255]        [1~255]        [Class 0~2]
// BagIndex   Section   SectionRate   MinDropCount   MaxDropCount   DW   DK   FE   MG
// ----------------------------------------------------------------------------------
   0          5         10000         1              1              1    1    1    1
end

5
// -----------------------------------------------------------------------------------------------------------
// [Ref: ItemOptionRate.txt]              [Level]   [Skill]   [Luck]    [JoL]     [Exc]
// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]        [0~255]      [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [InSec]
// ItemIndex   ItemLevel     GradeCount   Option0   Option1   Option2   Option3   Option4   Duration   Comment
// -----------------------------------------------------------------------------------------------------------
   08,016      0             0            39        *         *         *         *         0          //Black Dragon Armor [Level: +6~8]
   09,016      0             0            39        *         *         *         *         0          //Black Dragon Pants [Level: +6~8]
   10,016      0             0            39        *         *         *         *         0          //Black Dragon Gloves [Level: +6~8]
   11,016      0             0            39        *         *         *         *         0          //Black Dragon Boots [Level: +6~8]
   07,018      0             0            39        *         *         *         *         0          //Grand Soul Helm [Level: +6~8]
   08,018      0             0            39        *         *         *         *         0          //Grand Soul Armor [Level: +6~8]
   09,018      0             0            39        *         *         *         *         0          //Grand Soul Pants [Level: +6~8]
   10,018      0             0            39        *         *         *         *         0          //Grand Soul Gloves [Level: +6~8]
   11,018      0             0            39        *         *         *         *         0          //Grand Soul Boots [Level: +6~8]
   07,019      0             0            39        *         *         *         *         0          //Divine Helm [Level: +6~8]
   08,019      0             0            39        *         *         *         *         0          //Divine Armor [Level: +6~8]
   09,019      0             0            39        *         *         *         *         0          //Divine Pants [Level: +6~8]
   10,019      0             0            39        *         *         *         *         0          //Divine Gloves [Level: +6~8]
   11,019      0             0            39        *         *         *         *         0          //Divine Boots [Level: +6~8]
   00,014      0             0            *         12        12        12        12        0          //Lighting Sword [Skill Luck Option: +4 Exc: 1]
   00,016      0             0            *         12        12        12        12        0          //Sword of Destruction [Skill Luck Option: +4 Exc: 1]
   02,005      0             0            *         12        12        12        12        0          //Crystal Sword [Skill Luck Option: +4 Exc: 1]
   00,031      0             0            *         12        12        12        12        0          //Rune Blade [Skill Luck Option: +4 Exc: 1]
   02,004      0             0            *         12        12        12        12        0          //Crystal Morning Star [Skill Luck Option: +4 Exc: 1]
   03,009      0             0            *         12        12        12        12        0          //Bill of Balrog [Skill Luck Option: +4 Exc: 1]
   02,007      0             0            *         12        12        12        12        0          //Elemental Mace [Skill Luck Option: +4 Exc: 1]
   04,005      0             0            *         12        12        12        12        0          //Silver Bow [Skill Luck Option: +4 Exc: 1]
   04,014      0             0            *         12        12        12        12        0          //Aquagold Crossbow [Skill Luck Option: +4 Exc: 1]
   04,016      0             0            *         12        12        12        12        0          //Saint Crossbow [Skill Luck Option: +4 Exc: 1]
   05,005      0             0            *         12        12        12        12        0          //Legendary Staff [Skill Luck Option: +4 Exc: 1]
   05,006      0             0            *         12        12        12        12        0          //Staff of Resurrection [Skill Luck Option: +4 Exc: 1]
   05,008      0             0            *         12        12        12        12        0          //Staff of Destruction [Skill Luck Option: +4 Exc: 1]
   08,015      0             0            *         12        12        12        12        0          //Storm Crow Armor [Skill Luck Option: +4 Exc: 1]
   09,015      0             0            *         12        12        12        12        0          //Storm Crow Pants [Skill Luck Option: +4 Exc: 1]
   10,015      0             0            *         12        12        12        12        0          //Storm Crow Gloves [Skill Luck Option: +4 Exc: 1]
   11,015      0             0            *         12        12        12        12        0          //Storm Crow Boots [Skill Luck Option: +4 Exc: 1]
   06,013      0             0            *         12        12        12        12        0          //Dragon Shield [Skill Luck Option: +4 Exc: 1]
   06,014      0             0            *         12        12        12        12        0          //Legendary Shield [Skill Luck Option: +4 Exc: 1]
   06,011      0             0            *         12        12        12        12        0          //Serpent Shield [Skill Luck Option: +4 Exc: 1]
   13,013      0             0            *         12        12        12        12        0          //Pendant of Fire [Skill Luck Option: +4 Exc: 1]
   13,012      0             0            *         12        12        12        12        0          //Pendant of Lighting [Skill Luck Option: +4 Exc: 1]
   13,008      0             0            *         12        12        12        12        0          //Ring of Ice [Skill Luck Option: +4 Exc: 1]
   13,009      0             0            *         12        12        12        12        0          //Ring of Poison [Skill Luck Option: +4 Exc: 1]
   13,008      0             0            *         12        12        12        12        0          //Ring of Ice [Skill Luck Option: +4 Exc: 1]
   14,019      0             0            29        *         *         *         *         0          //Devil's Invitation [Level: +1~3]
   13,018      0             0            29        *         *         *         *         0          //Invisibility Cloak [Level: +1~3]
end
